component,variance_ratio
component_1,0.38068352038117953
component_2,0.14839401247463635
component_3,0.11454442373532271
component_4,0.06299421788510853
component_5,0.050116374859077537
component_6,0.042184285256467745
component_7,0.03188697372886252
component_8,0.023478094223055364
component_9,0.021826639763155062
component_10,0.019777309558817322
component_11,0.017748605914961482
component_12,0.017042621260302825
component_13,0.013880491420872618
component_14,0.012091509251087774
component_15,0.010624159135785807
component_16,0.010067550851810974
